Nome Format,Tipologia,Logistica,Target Ideale,Vibe / Emozione,Sales Hook,Social,Novità ,Ranking,Max Pax,Durata Min,Durata Max,Durata Ideale,Descrizione Breve,Formazione,Note,Link website page
Circus,Creativo / Fisico,Indoor / Outdoor,"Gruppi che vogliono ""osare""","Equilibrio, Risate, Sfida personale",Scoprite l'equilibrio perfetto tra divertimento e fiducia con le arti circensi.,no,no,3,Illimitato,2,4,3,"Laboratorio per apprendere le arti circensi (giocoleria, equilibrio) con show finale.",medium,,https://www.teambuilding.it/project/circus/
Cocktail Building,Culinario / Aperitivo,Indoor / Outdoor,"Giovani, Aperitivi","Cool, Gusto, Relax",Shakerate lo stress e create il mix perfetto per brindare al team.,no,no,4,Illimitato,"1,5","2,5",2,Gara a squadre per creare il cocktail perfetto sotto la guida di barman professionisti.,low,,https://www.teambuilding.it/project/cocktail-building/
Connecting Wall,Creativo / Pittura,Indoor,"Grandi Gruppi, Convention","Unione, Colore, Appartenenza","Tante tele diverse, un'unica grande visione aziendale: l'arte che unisce.",no,no,4,Illimitato,"1,5","2,5",2,"I team dipingono sezioni diverse che, una volta unite, formano un'unica grande immagine aziendale.",medium,,https://www.teambuilding.it/project/connecting-wall/
Cooking,Culinario,Indoor,Tutti (eccetto intolleranze gravi),"Gusto, Collaborazione, Calore",Dalla competizione ai fornelli alla condivisione a tavola: la ricetta segreta del team.,no,no,5,100,1,4,2,Gara di cucina completa (dalla spesa alla realizzazione del piatto) con chef professionisti.,low,,https://www.teambuilding.it/project/cooking/
Cooking Mystery Box,Culinario,Indoor,Appassionati Masterchef,"Adrenalina, Creatività , Gusto","Ingredienti segreti, tempo limitato: scatenate la creatività  culinaria!",no,si,5,100,"2,5",4,"3,5",Sfida culinaria dove i team devono cucinare usando ingredienti segreti svelati all'ultimo.,low,,https://www.teambuilding.it/project/cooking-mystery-box/
Crazy Experiments,Scientifico / Problem Solving,Indoor,"R&D, Ingegneri, Analitici","Logica, Scienza, Scoperta",La scienza al servizio del team: esperimenti folli per menti brillanti.,no,si,3,Illimitato,1,2,"1,5",Serie di esperimenti scientifici bizzarri e sfide di ingegno e logica.,low,,https://www.teambuilding.it/project/crazy-experiments/
Creative Recycling,Creativo / Green,Indoor,"Aziende Green, Sostenibilità ","Sostenibilità , Arte, Manualità ","Nulla si crea, tutto si trasforma: l'arte del riciclo creativo in azienda.",no,no,3,Illimitato,"1,5","2,5",2,Creazione di sculture e opere d'arte utilizzando esclusivamente materiali di scarto.,medium,,https://www.teambuilding.it/project/creative-recycling/
CSI Project,Investigativo,Indoor / Outdoor,"Analitici, Problem Solvers","Mistero, Logica, Investigazione",Sulla scena del crimine: usate la scienza forense per svelare la verità  nascosta.,no,no,5,Illimitato,2,4,3,"Indagine scientifica con rilevamento impronte, analisi prove e interrogatori.",High,,https://www.teambuilding.it/project/csi-project/
Csi Christmas,investigativo,indoor,"Analitici, Problem Solvers","Mistero, Logica, Investigazione",CSI: Chi ha rubato i regali di Babbo Natale?,no,si,3,Illimitato,1,3,2,Indagine scientifica alla ricerca delle tracce del ladro dei regali di Babbo Natale.,High,,https://www.teambuilding.it/project/csi-chi-ha-rubato-i-regali-di-babbo-natale/
Darkness Experience,Sensoriale,Indoor,Team che necessitano fiducia,"Fiducia, Ascolto, Emozione profonda",Spegnete la luce per accendere la fiducia: un'esperienza sensoriale profonda.,no,no,3,50,"1,5","2,5",2,Attività  sensoriali e di fiducia svolte nel buio totale per stimolare gli altri sensi.,High,,https://www.teambuilding.it/project/darkness-experience/
Decode Fake News,Investigativo / Attualità ,Indoor,"Giornalisti, Comunicazione","Attualità , Critica, Dibattito",Vero o falso? Allenate il pensiero critico nel labirinto dell'informazione.,no,si,3,Illimitato,1,2,"1,5",Gioco di indagine per imparare a distinguere notizie vere da fake news (anche generate da AI).,High,,https://www.teambuilding.it/project/decode-fake-news/
Domino Rally,Costruzione / Pazienza,Indoor,"Team pazienti, Precisione","Pazienza, Attenzione, Spettacolo",Un lavoro di precisione millimetrica per un finale spettacolare e travolgente.,no,no,2,Illimitato,"1,5","2,5",2,Posizionamento di migliaia di tessere per creare un percorso a effetto domino.,low,,https://www.teambuilding.it/project/domino-rally/
DragonBoat,Sport / Acqua,Outdoor (Lago),"Sportivi, Team numerosi","Sincronia, Forza, Natura",Tutti allo stesso ritmo: la massima espressione della sincronia di squadra sull'acqua.,no,no,2,Illimitato,2,4,3,Gara di velocità  e sincronia su lunghe canoe a 10-20 posti a ritmo di tamburo.,medium,,https://www.teambuilding.it/project/dragon-boat/
Energy For Africa,Sociale / Tech,Indoor,"CSR, Ingegneri","Tecnologia, Cuore, Impatto Sociale",Accendiamo la luce dove serve: tecnologia e solidarietà  si uniscono per cambiare vite.,si,si,4,Illimitato,"1,5","2,5",2,Assemblaggio di kit per l'energia solare che verranno donati a villaggi africani.,High,,https://www.teambuilding.it/project/energy-for-africa/
Enigma,Avventura / Tech,Outdoor,"Gruppi curiosi, Discovery","Dinamicità, Tecnologia, Sfida","Un sapiente mix di attività per coinvolgere tutti, qualche prova più atletica e qualche prova mentale.",no,no,4,Illimitato,"1,5",3,"2,5","Attività outdoor/indoor per tutti i gusti, ottima per gruppi eterogenei non troppo sportivi.",High,,https://www.teambuilding.it/project/enigma/
Escape Box,Logica / Enigmi,Indoor,"Problem Solvers, Meeting","Tensione, Logica, Collaborazione",La bomba sta ticchettando: avete il sangue freddo per disinnescarla in tempo?,no,no,5,Illimitato,1,"1,5","1,5","Risoluzione di enigmi logici per aprire una valigetta o disinnescare una ""bomba"".",medium,,https://www.teambuilding.it/project/escape-box/
Escape Dinner,Logica / Cena,Durante i pasti,Cene aziendali,"Enigma, Cena, Intrigo",Risolvete l'enigma per guadagnarvi la prossima portata! Cena con ingegno.,no,no,4,Illimitato,"1,5","2,5",2,Enigmi e lucchetti da aprire direttamente al tavolo tra una portata e l'altra.,low,,https://www.teambuilding.it/project/escape-dinner/
Family Day,Evento / Giochi,Indoor / Outdoor,"Famiglie, Aziende inclusive","Gioia, Festa, Inclusione",Aprite le porte alle famiglie: una giornata di festa dove lavoro e vita si incontrano.,no,no,4,Illimitato,4,8,5,"Giornata di giochi, gonfiabili e attività  aperta ai dipendenti e alle loro famiglie.",low,,https://www.teambuilding.it/project/family-day/
Fashion Show,Creativo / Show,Indoor,"Estroversi, Moda","Glamour, Risate, Passerella",Stilisti per un giorno: create la vostra collezione e sfilate sotto i riflettori.,no,no,3,Illimitato,2,"3,5","2,5",Creazione di abiti con materiali di recupero e vera sfilata di moda finale.,low,,https://www.teambuilding.it/project/fashion-show/
Ferrari Challenge,Guida / Lusso,Outdoor (Pista),"Top Management, Clienti VIP","Lusso, Velocità , Esclusività ",Il sogno italiano in pista: domate i cavalli rampanti in un circuito esclusivo.,no,no,2,60,3,6,"4,5",Esperienza di guida in pista su vere auto da corsa Ferrari Challenge.,low,"Preventivo assolutamente indicativo, è per avere una idea del costo, ma serve un preventivo specifico per avere la quotazione corretta.",https://www.teambuilding.it/project/ferrari-challenge/
FlashMob,Danza / Musica,Indoor / Outdoor,"Gruppi numerosi, Estroversi","Energia, Musica, Sorpresa",Un'esplosione di energia a sorpresa che contagerà  e stupirà  tutti i presenti.,no,no,2,Illimitato,1,"1,5","1,5",Preparazione ed esecuzione a sorpresa di una coreografia di gruppo in luogo pubblico.,low,,https://www.teambuilding.it/project/flash-mob/
Fluo Beat,Musica / Danza,Indoor (Buio),"Party aziendali, Giovani","Ritmo, Buio, Colore","Luci spente, ritmo acceso: un'esperienza percussiva e visiva fluorescente.",no,no,4,Illimitato,"0,5",3,"1,5","Danza e percussioni al buio utilizzando oggetti, stick e luci fluorescenti.",low,,https://www.teambuilding.it/project/fluobeat/
Forno Solare,Green / Costruzione,Outdoor,"Sostenibilità , Ingegneri","Ecologia, Sole, Ingegno",Sfruttare l'energia del sole per cucinare: ingegno green all'opera.,si,no,3,Illimitato,"1,5","2,5",2,Costruzione di un forno funzionante ad energia solare con materiali semplici.,High,,https://www.teambuilding.it/project/forno-solare/
Go Green,Green / Sociale,Outdoor,"CSR, Volontariato","Utilità , Ambiente, Pulizia",Rimbocchiamoci le maniche per un mondo più pulito e un team più unito.,si,no,3,Illimitato,2,3,"2,5","Attività  di pulizia ambientale (spiagge, parchi) e riqualificazione aree verdi.",High,,https://www.teambuilding.it/project/go-green/
Green Energy,Costruzione / Green,Indoor,"Sostenibilità , Tech","Energia, Invenzione, Futuro",Generare energia pulita con l'ingegno: la sfida energetica del futuro è nelle vostre mani.,si,si,4,Illimitato,2,3,"2,5",Costruzione di macchine capaci di generare energia pulita in modo creativo.,High,,https://www.teambuilding.it/project/green-energy/
Green Grand Prix,RC Cars / Green,Indoor / Outdoor,"Appassionati motori, Green","Velocità , Green, Competizione",Gran Premio a impatto zero: velocità  e divertimento con auto elettriche RC.,no,no,3,Illimitato,"1,5",3,2,Gara di velocità  con auto radiocomandate elettriche su pista allestita.,low,,https://www.teambuilding.it/project/green-gran-prix/
Green Tag,Creativo / Green,Indoor,"Design, Green","Natura, Arte, Relax",Portate la natura in ufficio creando opere d'arte viventi con il muschio.,si,si,3,Illimitato,2,3,"2,5",Realizzazione di quadri e pannelli decorativi utilizzando muschio e materiali naturali.,medium,,https://www.teambuilding.it/project/green-tag/
Guerrilla Gardening,Green / Sociale,Outdoor,"CSR, Urban","Verde, Riqualificazione, Cura",Un blitz verde per colorare la città  e lasciare un segno positivo e duraturo.,si,no,3,Illimitato,2,5,3,Blitz verde urbano per piantare fiori e riqualificare aiuole abbandonate.,Medium,,https://www.teambuilding.it/project/guerrilla-gardening/
Guida Sportiva,Guida,Outdoor (Pista),"Amanti guida, Sicurezza","Controllo, Adrenalina, Tecnica","Imparare a controllare la potenza: sicurezza, controllo e performance in pista.",no,no,3,60,4,8,6,Corso di guida sicura e sportiva in pista con istruttori qualificati.,low,,https://www.teambuilding.it/project/guida-sportiva/
Guida Neve/Ghiaccio,Guida,Outdoor (Neve),"Amanti guida, Inverno","Ghiaccio, Controllo, Drift",Sfida il ghiaccio: impara a dominare l'auto nelle condizioni più estreme e scivolose.,no,no,3,60,4,8,6,Corso di guida sicura per imparare a gestire l'auto su neve e ghiaccio.,low,"Preventivo assolutamente indicativo, è per avere una idea del costo, ma serve un preventivo specifico per avere la quotazione corretta.",https://www.teambuilding.it/project/guida-su-neve-e-ghiaccio/
Hybrid Treasure Hunt,Tech / Discovery,Outdoor / Remoto,Team ibridi/remoti,"Connessione, Scoperta, Tecnologia",La caccia al tesoro 2.0: connettete chi è in ufficio con chi è in strada in tempo reale.,no,no,3,Illimitato,1,3,2,"Caccia al tesoro mista: una parte del team è in strada, l'altra guida da remoto.",low,"Preventivo assolutamente indicativo, è per avere una idea del costo, ma serve un preventivo specifico per avere la quotazione corretta.",https://www.teambuilding.it/project/hybrid-treasure-hunt/
Ice Cream Mixology,Culinario,Indoor,"Golosi, Creativi","Freschezza, Gusto, Invenzione",Inventate il gusto dell'estate: chimica e creatività  per il gelato perfetto.,no,no,3,Illimitato,2,3,"2,5",Creazione di gusti di gelato originali e innovativi con ingredienti vari.,low,,https://www.teambuilding.it/project/ice-cream-mixology/
Inside Team,Psicologico / Formativo,Indoor,Team che necessitano empatia,"Emozione, Ascolto, Profondità ",Un viaggio nella mente del team per capire le emozioni che ci guidano ogni giorno.,no,no,4,Illimitato,2,3,"2,5",Viaggio nelle emozioni e nei ricordi del team ispirato al film Inside Out.,High,,https://www.teambuilding.it/project/inside-team/
Instabuilding Ai,Social / Foto,Indoor / Outdoor,"Gen-Z, Marketing, Social","Social, Visual, Storytelling",Raccontate la vostra storia aziendale con lo stile immediato degli influencer.,no,no,4,Illimitato,2,3,"2,5",Contest creativo basato sulla produzione di foto e video per Instagram.,medium,,https://www.teambuilding.it/project/insta-building-ai/
Intelligenza Artificiale,Tech / AI,Indoor,"Innovatori, Visionari","Tech, Futuro, Digital",Umano + AI: la collaborazione definitiva per creare contenuti incredibili in pochi minuti.,no,si,5,Illimitato,1,"2,5",2,"Utilizzo di strumenti AI per creare prodotti, immagini e campagne marketing.",medium,,https://www.teambuilding.it/project/intelligenza-artificiale/
Kayak,Sport / Acqua,Outdoor (Lago),"Sportivi, Amanti natura","Acqua, Sincronia, Natura",Pagaiare all'unisono immersi nella natura: sport e coordinazione sull'acqua.,no,no,3,100,2,3,"2,5",Escursione o gara a staffetta su kayak (canoe) nel lago o fiume.,medium,,https://www.teambuilding.it/project/kayak/
Law & Order,Roleplay / Investigativo,Indoor,"Amanti serie TV, Dibattito","Logica, Retorica, Giustizia","In aula di tribunale: arringa, difendi e convinci la giuria con la tua oratoria.",no,si,3,Illimitato,"1,5","2,5",2,Simulazione di un processo legale con analisi delle prove e dibattimento in aula.,medium,,https://www.teambuilding.it/project/laworder/
Lego Building,Costruzione,Indoor,"Ingegneri, Creativi, Tutti","Mattoncini, Nostalgia, Progettazione","Tornare bambini per costruire il futuro dell'azienda, mattoncino su mattoncino.",no,no,4,Illimitato,"1,5","2,5",2,"Costruzione di sculture, loghi o progetti complessi con migliaia di mattoncini Lego.",high,,https://www.teambuilding.it/project/lego-building/
Legolize,Creativo / AI,Indoor,"Gen-Z, Marketing, Creativi","Ironia, Social, Creatività ",Create vignette virali unendo l'ironia dei LEGO alla potenza dell'AI.,no,si,4,Illimitato,1,2,"1,5",Creazione di vignette ironiche stile LEGO utilizzando l'intelligenza artificiale.,medium,,https://www.teambuilding.it/project/legolize/
Leonardo da Vinci,Costruzione,Indoor,"Ingegneri, Storici","Genio, Storia, Meccanica",Mettetevi alla prova con le invenzioni del più grande genio della storia.,no,no,4,Illimitato,2,3,"2,5","Costruzione di macchine basate sui progetti di Leonardo (es. ponti, catapulte).",medium,,https://www.teambuilding.it/project/leonardo-da-vinci/
LipDub,Video / Musica,Indoor / Outdoor,"Estroversi, Feste aziendali","Musica, Video, Allegria","Un unico piano sequenza, tutto il team, una canzone: azione!",no,no,3,Illimitato,"1,5","2,5",2,Realizzazione di un videoclip musicale in piano sequenza (senza stacchi di camera).,low,,https://www.teambuilding.it/project/lipdub/
Lipsync Battle,Show,Indoor,"Estroversi, Party Aziendali","Musica, Show, Performance","Non serve saper cantare, basta saper fare show: la battaglia di playback definitiva.",no,si,4,Illimitato,1,"1,5","1,5",Sfida di playback a squadre con costumi e coreografie divertenti.,low,,https://www.teambuilding.it/project/lipsync-battle/
Make Your Sound,Musica / Costruzione,Indoor,"Gruppi creativi, Manualità ","Ritmo, Costruzione, Musica",Costruite i vostri strumenti con materiali di riciclo e create il ritmo del vostro successo.,no,si,4,Illimitato,"1,5","2,5",2,Costruzione di strumenti musicali con materiali di riciclo e concerto finale.,low,,https://www.teambuilding.it/project/make-your-sound/
Mannequin Challenge,Video / Social,Indoor,"Social, Giovani","Immobilità , Viralità , Divertimento",Il tempo si ferma: create il video virale perfetto congelando l'attimo fuggente.,no,no,3,Illimitato,"0,5","1,5",1,"Creazione di video virali con i partecipanti ""congelati"" in pose statiche.",low,,https://www.teambuilding.it/project/mannequin-challenge/
Medieval Cart,Costruzione / Gara,Outdoor,"Competitivi, Creativi","Storia, Gara, Costruzione",Indietro nel tempo: costruite la vostra biga romana e lanciatevi nella corsa!,no,no,2,Illimitato,2,"3,5","2,5","Progettazione, costruzione e gara con carretti in stile medievale.",medium,,https://www.teambuilding.it/project/medieval-cart/
Mind Hackers,Logica / Mentale,Indoor,"Analitici, Problem Solvers","Cervello, Sfida, Psicologia",Hackerate la vostra mente: sfide cognitive per superare i propri limiti e bias.,no,si,3,Illimitato,1,"1,5","1,5","Sfide mentali su bias cognitivi, memoria, attenzione e pensiero laterale.",medium,,https://www.teambuilding.it/project/mind-hackers/
Mission Impossible,Urban Game / Video,Outdoor,"Giovani, Dinamici","Azione, Spionaggio, Città ","La vostra missione, se deciderete di accettarla: una caccia urbana ad alta tensione.",no,no,3,Illimitato,2,"3,5","2,5",Caccia al tesoro urbana con prove video creative da agenti segreti.,medium,,https://www.teambuilding.it/project/mission-impossible/
Mission to Mars VR,Tech / VR,Indoor,"Tech, Nerd, Problem Solvers","Realtà  Virtuale, Spazio, Futuro",Risolvete problemi sul Pianeta Rosso collaborando tra realtà  fisica e virtuale.,no,si,4,100,2,3,"2,5",Risoluzione di problemi e missioni su Marte tramite visori di Realtà  Virtuale.,medium,,https://www.teambuilding.it/project/mission-to-mars/
Mosaico,Creativo,Indoor,"Grandi gruppi, Artistici","Arte, Pazienza, Unione",Tante piccole tessere per formare la grande immagine unitaria della vostra azienda.,no,no,4,Illimitato,"1,5","2,5",2,Creazione dell'immagine aziendale o di un quadro tramite migliaia di tasselli colorati.,low,,https://www.teambuilding.it/project/mosaico/
Movie Game,Quiz / Cinema,Durante i pasti,"Cene Aziendali, Cinefili","Cinema, Quiz, Divertimento",Vi sentite esperti di cinema? Mettetevi alla prova tra citazioni e colonne sonore!,no,no,3,Illimitato,"1,5","2,5",2,Quiz a squadre interattivo sul mondo del cinema con pulsantiere o app.,low,,https://www.teambuilding.it/project/movie-game/
Mystery Box,Culinario,Indoor,Appassionati Masterchef,"Adrenalina, Creatività , Gusto","Una scatola misteriosa, ingredienti segreti e la sfida di creare un piatto da chef.",no,si,5,100,2,4,3,Sfida di cucina in stile Masterchef con ingredienti a sorpresa.,low,,https://www.teambuilding.it/project/mystery-box/
Natale all'asta,Quiz / Asta,Cena / Aperitivo,"Cene di Natale, Gruppi vivaci","Azzardo, Risate, Strategia",Un'asta pazza dove si vince usando la valuta più preziosa: il divertimento.,no,no,3,Illimitato,"1,5","2,5",2,Gioco a quiz con asta finale per aggiudicarsi premi utilizzando i punti guadagnati.,low,,https://www.teambuilding.it/project/natale-all-asta/
Natale in Team,Creativo / Natale,Indoor,Cene di Natale,"Natale, Creatività , Festa",L'atmosfera del Natale creata dalle vostre mani per decorare l'ufficio o la festa.,no,no,4,Illimitato,"1,5","2,5",2,"Attività  creative natalizie (decorazioni, alberi) svolte in team.",low,,https://www.teambuilding.it/project/nataleinteam
Oggetti Misteriosi,Quiz / Cena,Durante i pasti,"Cene Aziendali, Curiosi","Curiosità , Storia, Logica",Oggetti strani dal passato: indovinate a cosa servivano prima che lo faccia il tavolo accanto!,no,no,3,Illimitato,1,2,"1,5",Quiz interattivo dove i team devono indovinare l'uso di oggetti antichi e strani.,low,,https://www.teambuilding.it/project/oggetti-misteriosi/
